title,category,description,required_traits,skills,min_openness,min_conscientiousness,min_extraversion,min_agreeableness,max_neuroticism,is_active
Researcher,Education,Conducts studies and produces academic research.,High Openness and Discipline,"Research, Statistics, Writing, Critical Thinking",85,75,30,50,55,True
Academic Advisor,Education,Guides students in academic and career planning.,High Agreeableness and Responsibility,"Counseling, Communication, Planning, Student Support",60,70,60,85,55,True
HR Manager,Business,Manages hiring employee relations and workplace policies.,High Extraversion and Agreeableness,"Recruitment, Communication, Leadership, HR Policies",60,65,75,85,55,True
Marketing Manager,Business,Plans marketing campaigns and brand strategies.,High Extraversion and Openness,"Marketing, Communication, Strategy, Creativity",75,60,80,60,60,True
Business Analyst,Business,Analyzes business needs and improves processes.,Conscientiousness and Communication,"Analysis, Documentation, SQL, Communication",65,75,55,60,55,True
Financial Analyst,Business,Analyzes financial data and investment decisions.,High Conscientiousness and Analysis,"Finance, Excel, Statistics, Reporting",60,80,35,45,50,True
Accountant,Business,Manages financial records and reports.,High Conscientiousness,"Accounting, Excel, Accuracy, Finance",45,85,25,45,45,True
Sales Manager,Business,Leads sales teams and customer growth strategies.,High Extraversion and Communication,"Sales, Negotiation, Leadership, Customer Relations",60,65,85,60,60,True
Entrepreneur,Business,Starts and manages business ventures.,High Openness and Extraversion,"Leadership, Risk Taking, Sales, Strategy",80,60,75,55,65,True
Project Manager,Business,Plans and manages projects and teams.,High Conscientiousness and Leadership,"Planning, Leadership, Communication, Risk Management",65,80,70,65,50,True
Civil Engineer,Engineering,Designs and supervises construction projects.,High Conscientiousness and Problem Solving,"AutoCAD, Project Management, Math, Planning",60,80,40,55,50,True
Mechanical Engineer,Engineering,Designs mechanical systems and machines.,High Conscientiousness and Technical Thinking,"CAD, Mechanics, Problem Solving, Manufacturing",65,80,35,45,50,True
Electrical Engineer,Engineering,Works with electrical systems and circuits.,High Conscientiousness and Technical Ability,"Circuits, Electronics, MATLAB, Problem Solving",65,80,35,45,50,True
Chemical Engineer,Engineering,Designs and manages chemical processes.,High Conscientiousness and Scientific Thinking,"Chemistry, Process Design, Safety, Analysis",65,82,30,45,45,True
Industrial Engineer,Engineering,Improves systems processes and productivity.,Conscientiousness and Analytical Thinking,"Process Improvement, Statistics, Operations, Planning",65,80,45,50,50,True
Architect,Engineering,Designs buildings and spaces.,High Openness and Planning,"Design, AutoCAD, Creativity, Planning",80,70,45,55,60,True
Lawyer,Public Service,Provides legal advice and represents clients.,High Conscientiousness and Communication,"Law, Argumentation, Research, Communication",65,80,70,55,55,True
Judge,Public Service,Makes legal decisions in courts.,High Conscientiousness and Fair Judgment,"Law, Ethics, Decision Making, Legal Reasoning",60,90,55,60,40,True
Police Officer,Public Service,Maintains law and public safety.,Conscientiousness and Emotional Stability,"Discipline, Fitness, Decision Making, Communication",45,80,60,60,40,True
Army Officer,Public Service,Leads and manages military operations.,Discipline and Emotional Stability,"Leadership, Discipline, Strategy, Fitness",45,85,65,55,35,True
Civil Servant CSS Officer,Public Service,Works in government administration and policy.,High Conscientiousness and Public Responsibility,"Policy, Administration, Communication, Leadership",65,85,65,65,45,True
Social Worker,Public Service,Supports people and communities in need.,High Agreeableness and Empathy,"Counseling, Communication, Community Work",60,65,55,90,55,True
Pilot,Aviation,Operates aircraft safely and professionally.,High Conscientiousness and Emotional Stability,"Navigation, Aviation, Decision Making, Discipline",55,92,55,55,30,True
Environmental Scientist,Science,Studies environment and sustainability issues.,High Openness and Analytical Thinking,"Environmental Science, Research, Data Analysis, Sustainability",80,75,35,60,55,True
