question_text,trait,facet,weight,reverse_scoring,is_active,source
Jump into things without thinking.,C,Cautiousness,1,True,True,IPIP-120
Make rash decisions.,C,Cautiousness,1,True,True,IPIP-120
Rush into things.,C,Cautiousness,1,True,True,IPIP-120
Act without thinking.,C,Cautiousness,1,True,True,IPIP-120
Get caught up in my problems.,N,Anxiety,1,False,True,IPIP-300
Am not easily bothered by things.,N,Anxiety,1,True,True,IPIP-300
Am relaxed most of the time.,N,Anxiety,1,True,True,IPIP-300
Am not easily disturbed by events.,N,Anxiety,1,True,True,IPIP-300
Don't worry about things that have already happened.,N,Anxiety,1,True,True,IPIP-300
Adapt easily to new situations.,N,Anxiety,1,True,True,IPIP-300
Get upset easily.,N,Anger,1,False,True,IPIP-300
Am often in a bad mood.,N,Anger,1,False,True,IPIP-300
Rarely get irritated.,N,Anger,1,True,True,IPIP-300
Seldom get mad.,N,Anger,1,True,True,IPIP-300
Keep my cool.,N,Anger,1,True,True,IPIP-300
Rarely complain.,N,Anger,1,True,True,IPIP-300
Have a low opinion of myself.,N,Depression,1,False,True,IPIP-300
Have frequent mood swings.,N,Depression,1,False,True,IPIP-300
Feel desperate.,N,Depression,1,False,True,IPIP-300
Feel that my life lacks direction.,N,Depression,1,False,True,IPIP-300
Seldom feel blue.,N,Depression,1,True,True,IPIP-300
Am very pleased with myself.,N,Depression,1,True,True,IPIP-300
Am easily intimidated.,N,Self-Consciousness,1,False,True,IPIP-300
Am afraid that I will do the wrong thing.,N,Self-Consciousness,1,False,True,IPIP-300
Stumble over my words.,N,Self-Consciousness,1,False,True,IPIP-300
Am not embarrassed easily.,N,Self-Consciousness,1,True,True,IPIP-300
Am comfortable in unfamiliar situations.,N,Self-Consciousness,1,True,True,IPIP-300
Am able to stand up for myself.,N,Self-Consciousness,1,True,True,IPIP-300
Often eat too much.,N,Immoderation,1,False,True,IPIP-300
Don't know why I do some of the things I do.,N,Immoderation,1,False,True,IPIP-300
Do things I later regret.,N,Immoderation,1,False,True,IPIP-300
Love to eat.,N,Immoderation,1,False,True,IPIP-300
Never spend more than I can afford.,N,Immoderation,1,True,True,IPIP-300
Never splurge.,N,Immoderation,1,True,True,IPIP-300
Can't make up my mind.,N,Vulnerability,1,False,True,IPIP-300
Get overwhelmed by emotions.,N,Vulnerability,1,False,True,IPIP-300
Can handle complex problems.,N,Vulnerability,1,True,True,IPIP-300
Know how to cope.,N,Vulnerability,1,True,True,IPIP-300
Readily overcome setbacks.,N,Vulnerability,1,True,True,IPIP-300
Am calm even in tense situations.,N,Vulnerability,1,True,True,IPIP-300
Warm up quickly to others.,E,Friendliness,1,False,True,IPIP-300
Act comfortably with others.,E,Friendliness,1,False,True,IPIP-300
Cheer people up.,E,Friendliness,1,False,True,IPIP-300
Am hard to get to know.,E,Friendliness,1,True,True,IPIP-300
Often feel uncomfortable around others.,E,Friendliness,1,True,True,IPIP-300
Am not really interested in others.,E,Friendliness,1,True,True,IPIP-300
Enjoy being part of a group.,E,Gregariousness,1,False,True,IPIP-300
Involve others in what I am doing.,E,Gregariousness,1,False,True,IPIP-300
Love surprise parties.,E,Gregariousness,1,False,True,IPIP-300
Want to be left alone.,E,Gregariousness,1,True,True,IPIP-300
Don't like crowded events.,E,Gregariousness,1,True,True,IPIP-300
Seek quiet.,E,Gregariousness,1,True,True,IPIP-300
Can talk others into doing things.,E,Assertiveness,1,False,True,IPIP-300
Seek to influence others.,E,Assertiveness,1,False,True,IPIP-300
Keep in the background.,E,Assertiveness,1,True,True,IPIP-300
Have little to say.,E,Assertiveness,1,True,True,IPIP-300
Don't like to draw attention to myself.,E,Assertiveness,1,True,True,IPIP-300
Hold back my opinions.,E,Assertiveness,1,True,True,IPIP-300
Can manage many things at the same time.,E,Activity Level,1,False,True,IPIP-300
React quickly.,E,Activity Level,1,False,True,IPIP-300
Like to take my time.,E,Activity Level,1,True,True,IPIP-300
Like a leisurely lifestyle.,E,Activity Level,1,True,True,IPIP-300
Let things proceed at their own pace.,E,Activity Level,1,True,True,IPIP-300
React slowly.,E,Activity Level,1,True,True,IPIP-300
Love action.,E,Excitement-Seeking,1,False,True,IPIP-300
Enjoy being part of a loud crowd.,E,Excitement-Seeking,1,False,True,IPIP-300
Am willing to try anything once.,E,Excitement-Seeking,1,False,True,IPIP-300
Seek danger.,E,Excitement-Seeking,1,False,True,IPIP-300
Would never go hang gliding or bungee jumping.,E,Excitement-Seeking,1,True,True,IPIP-300
Dislike loud music.,E,Excitement-Seeking,1,True,True,IPIP-300
Express childlike joy.,E,Cheerfulness,1,False,True,IPIP-300
Laugh my way through life.,E,Cheerfulness,1,False,True,IPIP-300
Laugh aloud.,E,Cheerfulness,1,False,True,IPIP-300
Amuse my friends.,E,Cheerfulness,1,False,True,IPIP-300
Am not easily amused.,E,Cheerfulness,1,True,True,IPIP-300
Seldom joke around.,E,Cheerfulness,1,True,True,IPIP-300
Indulge in my fantasies.,O,Imagination,1,False,True,IPIP-300
Spend time reflecting on things.,O,Imagination,1,False,True,IPIP-300
Seldom daydream.,O,Imagination,1,True,True,IPIP-300
Do not have a good imagination.,O,Imagination,1,True,True,IPIP-300
Seldom get lost in thought.,O,Imagination,1,True,True,IPIP-300
Have difficulty imagining things.,O,Imagination,1,True,True,IPIP-300
Like music.,O,Artistic Interests,1,False,True,IPIP-300
Love flowers.,O,Artistic Interests,1,False,True,IPIP-300
Enjoy the beauty of nature.,O,Artistic Interests,1,False,True,IPIP-300
Do not like art.,O,Artistic Interests,1,True,True,IPIP-300
Do not like concerts.,O,Artistic Interests,1,True,True,IPIP-300
Do not enjoy watching dance performances.,O,Artistic Interests,1,True,True,IPIP-300
Am passionate about causes.,O,Emotionality,1,False,True,IPIP-300
Enjoy examining myself and my life.,O,Emotionality,1,False,True,IPIP-300
Try to understand myself.,O,Emotionality,1,False,True,IPIP-300
Seldom get emotional.,O,Emotionality,1,True,True,IPIP-300
Am not easily affected by my emotions.,O,Emotionality,1,True,True,IPIP-300
Experience very few emotional highs and lows.,O,Emotionality,1,True,True,IPIP-300
Like to visit new places.,O,Adventurousness,1,False,True,IPIP-300
Am interested in many things.,O,Adventurousness,1,False,True,IPIP-300
Like to begin new things.,O,Adventurousness,1,False,True,IPIP-300
Don't like the idea of change.,O,Adventurousness,1,True,True,IPIP-300
Am a creature of habit.,O,Adventurousness,1,True,True,IPIP-300
Dislike new foods.,O,Adventurousness,1,True,True,IPIP-300
Like to solve complex problems.,O,Intellect,1,False,True,IPIP-300
Have a rich vocabulary.,O,Intellect,1,False,True,IPIP-300
Can handle a lot of information.,O,Intellect,1,False,True,IPIP-300
Enjoy thinking about things.,O,Intellect,1,False,True,IPIP-300
Am not interested in abstract ideas.,O,Intellect,1,True,True,IPIP-300
Avoid difficult reading material.,O,Intellect,1,True,True,IPIP-300
Believe that criminals should receive help rather than,O,Liberalism,1,False,True,IPIP-300
Believe in one true religion.,O,Liberalism,1,True,True,IPIP-300
Believe that too much tax money goes to support artists.,O,Liberalism,1,True,True,IPIP-300
Believe laws should be strictly enforced.,O,Liberalism,1,True,True,IPIP-300
Believe that we coddle criminals too much.,O,Liberalism,1,True,True,IPIP-300
Like to stand during the national anthem.,O,Liberalism,1,True,True,IPIP-300
Believe that people are basically moral.,A,Trust,1,False,True,IPIP-300
Believe in human goodness.,A,Trust,1,False,True,IPIP-300
Think that all will be well.,A,Trust,1,False,True,IPIP-300
Suspect hidden motives in others.,A,Trust,1,True,True,IPIP-300
Am wary of others.,A,Trust,1,True,True,IPIP-300
Believe that people are essentially evil.,A,Trust,1,True,True,IPIP-300
Would never cheat on my taxes.,A,Morality,1,False,True,IPIP-300
Stick to the rules.,A,Morality,1,False,True,IPIP-300
Use flattery to get ahead.,A,Morality,1,True,True,IPIP-300
Know how to get around the rules.,A,Morality,1,True,True,IPIP-300
Put people under pressure.,A,Morality,1,True,True,IPIP-300
Pretend to be concerned for others.,A,Morality,1,True,True,IPIP-300
Make people feel welcome.,A,Altruism,1,False,True,IPIP-300
Anticipate the needs of others.,A,Altruism,1,False,True,IPIP-300
Have a good word for everyone.,A,Altruism,1,False,True,IPIP-300
Look down on others.,A,Altruism,1,True,True,IPIP-300
Make people feel uncomfortable.,A,Altruism,1,True,True,IPIP-300
Turn my back on others.,A,Altruism,1,True,True,IPIP-300
Am easy to satisfy.,A,Cooperation,1,False,True,IPIP-300
Can't stand confrontations.,A,Cooperation,1,False,True,IPIP-300
Hate to seem pushy.,A,Cooperation,1,False,True,IPIP-300
Have a sharp tongue.,A,Cooperation,1,True,True,IPIP-300
Contradict others.,A,Cooperation,1,True,True,IPIP-300
Hold a grudge.,A,Cooperation,1,True,True,IPIP-300
Dislike being the center of attention.,A,Modesty,1,False,True,IPIP-300
Dislike talking about myself.,A,Modesty,1,False,True,IPIP-300
Consider myself an average person.,A,Modesty,1,False,True,IPIP-300
Seldom toot my own horn.,A,Modesty,1,False,True,IPIP-300
Know the answers to many questions.,A,Modesty,1,True,True,IPIP-300
Make myself the center of attention.,A,Modesty,1,True,True,IPIP-300
Value cooperation over competition.,A,Sympathy,1,False,True,IPIP-300
Suffer from others' sorrows.,A,Sympathy,1,False,True,IPIP-300
Tend to dislike soft-hearted people.,A,Sympathy,1,True,True,IPIP-300
Believe in an eye for an eye.,A,Sympathy,1,True,True,IPIP-300
Believe people should fend for themselves.,A,Sympathy,1,True,True,IPIP-300
Can't stand weak people.,A,Sympathy,1,True,True,IPIP-300
Am sure of my ground.,C,Self-Efficacy,1,False,True,IPIP-300
Come up with good solutions.,C,Self-Efficacy,1,False,True,IPIP-300
Misjudge situations.,C,Self-Efficacy,1,True,True,IPIP-300
Don't understand things.,C,Self-Efficacy,1,True,True,IPIP-300
Have little to contribute.,C,Self-Efficacy,1,True,True,IPIP-300
Don't see the consequences of things.,C,Self-Efficacy,1,True,True,IPIP-300
Like order.,C,Orderliness,1,False,True,IPIP-300
"Want everything to be ""just right.""",C,Orderliness,1,False,True,IPIP-300
Love order and regularity.,C,Orderliness,1,False,True,IPIP-300
Do things according to a plan.,C,Orderliness,1,False,True,IPIP-300
Am not bothered by messy people.,C,Orderliness,1,True,True,IPIP-300
Am not bothered by disorder.,C,Orderliness,1,True,True,IPIP-300
Try to follow the rules.,C,Dutifulness,1,False,True,IPIP-300
Pay my bills on time.,C,Dutifulness,1,False,True,IPIP-300
Listen to my conscience.,C,Dutifulness,1,False,True,IPIP-300
Get others to do my duties.,C,Dutifulness,1,True,True,IPIP-300
Do the opposite of what is asked.,C,Dutifulness,1,True,True,IPIP-300
Misrepresent the facts.,C,Dutifulness,1,True,True,IPIP-300
Go straight for the goal.,C,Achievement-Striving,1,False,True,IPIP-300
Turn plans into actions.,C,Achievement-Striving,1,False,True,IPIP-300
Plunge into tasks with all my heart.,C,Achievement-Striving,1,False,True,IPIP-300
Set high standards for myself and others.,C,Achievement-Striving,1,False,True,IPIP-300
Demand quality.,C,Achievement-Striving,1,False,True,IPIP-300
Am not highly motivated to succeed.,C,Achievement-Striving,1,True,True,IPIP-300
Get chores done right away.,C,Self-Discipline,1,False,True,IPIP-300
Start tasks right away.,C,Self-Discipline,1,False,True,IPIP-300
Get to work at once.,C,Self-Discipline,1,False,True,IPIP-300
Find it difficult to get down to work.,C,Self-Discipline,1,True,True,IPIP-300
Need a push to get started.,C,Self-Discipline,1,True,True,IPIP-300
Postpone decisions.,C,Self-Discipline,1,True,True,IPIP-300
Avoid mistakes.,C,Cautiousness,1,False,True,IPIP-300
Choose my words with care.,C,Cautiousness,1,False,True,IPIP-300
Stick to my chosen path.,C,Cautiousness,1,False,True,IPIP-300
Like to act on a whim.,C,Cautiousness,1,True,True,IPIP-300
Do crazy things.,C,Cautiousness,1,True,True,IPIP-300
Often make last-minute plans.,C,Cautiousness,1,True,True,IPIP-300
