question_text,trait,facet,weight,reverse_scoring,is_active,source
Believe that there is no absolute right and wrong.,O,Liberalism,1,False,True,IPIP-120
Believe that criminals should receive help rather than,O,Liberalism,1,False,True,IPIP-300
Tend to vote for conservative political candidates.,O,Liberalism,1,True,True,IPIP-120
Believe that we should be tough on crime.,O,Liberalism,1,True,True,IPIP-120
Believe in one true religion.,O,Liberalism,1,True,True,IPIP-300
Trust others.,A,Trust,1,False,True,IPIP-120
Believe that others have good intentions.,A,Trust,1,False,True,IPIP-120
Trust what people say.,A,Trust,1,False,True,IPIP-120
Distrust people.,A,Trust,1,True,True,IPIP-120
Suspect hidden motives in others.,A,Trust,1,True,True,IPIP-300
Am wary of others.,A,Trust,1,True,True,IPIP-300
Believe that people are essentially evil.,A,Trust,1,True,True,IPIP-300
Use others for my own ends.,A,Morality,1,True,True,IPIP-120
Cheat to get ahead.,A,Morality,1,True,True,IPIP-120
Take advantage of others.,A,Morality,1,True,True,IPIP-120
Obstruct others' plans.,A,Morality,1,True,True,IPIP-120
Would never cheat on my taxes.,A,Morality,1,False,True,IPIP-300
Stick to the rules.,A,Morality,1,False,True,IPIP-300
Use flattery to get ahead.,A,Morality,1,True,True,IPIP-300
Am concerned about others.,A,Altruism,1,False,True,IPIP-120
Love to help others.,A,Altruism,1,False,True,IPIP-120
Make people feel welcome.,A,Altruism,1,False,True,IPIP-300
Am indifferent to the feelings of others.,A,Altruism,1,True,True,IPIP-120
Take no time for others.,A,Altruism,1,True,True,IPIP-120
Look down on others.,A,Altruism,1,True,True,IPIP-300
Make people feel uncomfortable.,A,Altruism,1,True,True,IPIP-300
Am easy to satisfy.,A,Cooperation,1,False,True,IPIP-300
Can't stand confrontations.,A,Cooperation,1,False,True,IPIP-300
Hate to seem pushy.,A,Cooperation,1,False,True,IPIP-300
Love a good fight.,A,Cooperation,1,True,True,IPIP-120
Yell at people.,A,Cooperation,1,True,True,IPIP-120
Insult people.,A,Cooperation,1,True,True,IPIP-120
Get back at others.,A,Cooperation,1,True,True,IPIP-120
Dislike being the center of attention.,A,Modesty,1,False,True,IPIP-300
Dislike talking about myself.,A,Modesty,1,False,True,IPIP-300
Consider myself an average person.,A,Modesty,1,False,True,IPIP-300
Believe that I am better than others.,A,Modesty,1,True,True,IPIP-120
Think highly of myself.,A,Modesty,1,True,True,IPIP-120
Have a high opinion of myself.,A,Modesty,1,True,True,IPIP-120
Sympathize with the homeless.,A,Sympathy,1,False,True,IPIP-120
Feel sympathy for those who are worse off than myself.,A,Sympathy,1,False,True,IPIP-120
Value cooperation over competition.,A,Sympathy,1,False,True,IPIP-300
Am not interested in other people's problems.,A,Sympathy,1,True,True,IPIP-120
Try not to think about the needy.,A,Sympathy,1,True,True,IPIP-120
Tend to dislike soft-hearted people.,A,Sympathy,1,True,True,IPIP-300
Complete tasks successfully.,C,Self-Efficacy,1,False,True,IPIP-120
Excel in what I do.,C,Self-Efficacy,1,False,True,IPIP-120
Handle tasks smoothly.,C,Self-Efficacy,1,False,True,IPIP-120
Misjudge situations.,C,Self-Efficacy,1,True,True,IPIP-300
Don't understand things.,C,Self-Efficacy,1,True,True,IPIP-300
Have little to contribute.,C,Self-Efficacy,1,True,True,IPIP-300
Don't see the consequences of things.,C,Self-Efficacy,1,True,True,IPIP-300
Like to tidy up.,C,Orderliness,1,False,True,IPIP-120
Like order.,C,Orderliness,1,False,True,IPIP-300
"Want everything to be ""just right.""",C,Orderliness,1,False,True,IPIP-300
Often forget to put things back in their proper place.,C,Orderliness,1,True,True,IPIP-120
Leave a mess in my room.,C,Orderliness,1,True,True,IPIP-120
Leave my belongings around.,C,Orderliness,1,True,True,IPIP-120
Am not bothered by messy people.,C,Orderliness,1,True,True,IPIP-300
Keep my promises.,C,Dutifulness,1,False,True,IPIP-120
Tell the truth.,C,Dutifulness,1,False,True,IPIP-120
Try to follow the rules.,C,Dutifulness,1,False,True,IPIP-300
Break rules.,C,Dutifulness,1,True,True,IPIP-120
Break my promises.,C,Dutifulness,1,True,True,IPIP-120
Get others to do my duties.,C,Dutifulness,1,True,True,IPIP-300
Do the opposite of what is asked.,C,Dutifulness,1,True,True,IPIP-300
Do more than what's expected of me.,C,Achievement-Striving,1,False,True,IPIP-120
Work hard.,C,Achievement-Striving,1,False,True,IPIP-120
Put little time and effort into my work.,C,Achievement-Striving,1,True,True,IPIP-120
Do just enough work to get by.,C,Achievement-Striving,1,True,True,IPIP-120
Go straight for the goal.,C,Achievement-Striving,1,False,True,IPIP-300
Turn plans into actions.,C,Achievement-Striving,1,False,True,IPIP-300
Plunge into tasks with all my heart.,C,Achievement-Striving,1,False,True,IPIP-300
Am always prepared.,C,Self-Discipline,1,False,True,IPIP-120
Carry out my plans.,C,Self-Discipline,1,False,True,IPIP-120
Get chores done right away.,C,Self-Discipline,1,False,True,IPIP-300
Waste my time.,C,Self-Discipline,1,True,True,IPIP-120
Have difficulty starting tasks.,C,Self-Discipline,1,True,True,IPIP-120
Find it difficult to get down to work.,C,Self-Discipline,1,True,True,IPIP-300
Avoid mistakes.,C,Cautiousness,1,False,True,IPIP-300
Choose my words with care.,C,Cautiousness,1,False,True,IPIP-300
Stick to my chosen path.,C,Cautiousness,1,False,True,IPIP-300
Jump into things without thinking.,C,Cautiousness,1,True,True,IPIP-120
Make rash decisions.,C,Cautiousness,1,True,True,IPIP-120
Rush into things.,C,Cautiousness,1,True,True,IPIP-120
